iter	Passed	Remaining
0	2	239
1	4	238
2	7	235
3	8	213
4	11	213
5	13	205
6	15	205
7	17	204
8	19	200
9	22	199
10	24	196
11	26	194
12	28	191
13	30	188
14	33	187
15	35	186
16	37	184
17	40	183
18	42	181
19	44	179
20	47	178
21	49	176
22	51	173
23	54	171
24	56	169
25	58	167
26	61	165
27	63	162
28	65	159
29	67	157
30	70	155
31	72	153
32	74	151
33	77	149
34	79	146
35	81	144
36	83	142
37	85	140
38	87	137
39	90	135
40	92	133
41	93	128
42	95	126
43	97	124
44	99	122
45	102	119
46	104	117
47	106	115
48	108	113
49	110	110
50	113	108
51	115	106
52	118	105
53	121	103
54	124	101
55	127	100
56	129	97
57	132	95
58	134	93
59	136	91
60	139	88
61	141	86
62	143	84
63	145	82
64	147	79
65	150	77
66	152	75
67	154	72
68	157	70
69	159	68
70	161	66
71	164	63
72	166	61
73	168	59
74	171	57
75	173	54
76	175	52
77	178	50
78	180	47
79	182	45
80	184	43
81	187	41
82	189	38
83	190	36
84	192	33
85	194	31
86	196	29
87	198	27
88	200	24
89	203	22
90	205	20
91	208	18
92	210	15
93	212	13
94	215	11
95	217	9
96	219	6
97	221	4
98	223	2
99	226	0
