iter	Passed	Remaining
0	114	114376
1	116	58148
2	118	39436
3	120	30017
4	122	24466
5	125	20772
6	127	18110
7	130	16141
8	133	14657
9	135	13442
10	138	12442
11	142	11725
12	145	11048
13	148	10450
14	151	9960
15	155	9549
16	158	9146
17	160	8778
18	163	8447
19	166	8165
20	169	7907
21	173	7698
22	176	7516
23	179	7311
24	184	7185
25	187	7024
26	190	6878
27	195	6772
28	198	6653
29	202	6533
30	204	6395
31	208	6294
32	210	6163
33	212	6027
34	214	5907
35	216	5787
36	218	5679
37	220	5575
38	222	5481
39	224	5382
40	226	5290
41	227	5199
42	229	5112
43	231	5027
44	233	4951
45	235	4877
46	236	4802
47	238	4728
48	239	4655
49	241	4595
50	244	4544
51	245	4479
52	246	4412
53	248	4354
54	250	4296
55	251	4243
56	253	4187
57	254	4134
58	256	4083
59	257	4034
60	259	3993
61	260	3948
62	262	3904
63	264	3861
64	265	3818
65	266	3777
66	269	3746
67	270	3707
68	271	3665
69	272	3624
70	274	3586
71	275	3548
72	276	3514
73	277	3477
74	278	3439
75	279	3403
76	281	3370
77	282	3337
78	283	3305
79	284	3273
80	286	3252
81	288	3225
82	288	3192
83	290	3163
84	291	3133
85	292	3111
86	294	3085
87	295	3059
88	296	3032
89	297	3004
90	298	2980
91	299	2956
92	300	2931
93	301	2906
94	302	2882
95	303	2860
96	306	2850
97	307	2829
98	308	2806
99	309	2784
100	310	2762
101	311	2743
102	313	2726
103	314	2707
104	315	2687
105	316	2667
106	317	2652
107	319	2636
108	320	2620
109	321	2603
110	323	2588
111	324	2576
112	326	2561
113	327	2544
114	328	2530
115	330	2514
116	331	2499
117	332	2484
118	333	2468
119	334	2452
120	335	2437
121	336	2421
122	338	2410
123	339	2395
124	340	2381
125	341	2368
126	342	2353
127	343	2342
128	345	2329
129	345	2315
130	346	2300
131	347	2286
132	348	2272
133	349	2260
134	350	2248
135	351	2235
136	352	2222
137	354	2212
138	355	2200
139	356	2189
140	357	2177
141	357	2162
142	359	2152
143	360	2141
144	361	2130
145	362	2122
146	363	2112
147	365	2101
148	366	2091
149	367	2080
150	368	2072
151	369	2061
152	370	2051
153	371	2041
154	372	2030
155	373	2023
156	375	2014
157	376	2004
158	377	1995
159	379	1990
160	380	1980
161	381	1971
162	382	1963
163	383	1953
164	384	1944
165	385	1935
166	386	1926
167	387	1918
168	388	1909
169	389	1900
170	390	1891
171	391	1883
172	392	1876
173	393	1868
174	394	1859
175	395	1851
176	396	1842
177	397	1837
178	399	1830
179	399	1822
180	400	1813
181	401	1806
